project_start_date,reporting_construction_type,extended_affordability_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,all_counted_units,total_units
2019-09-30,0,0,0,0,0,0,3,3,7
2019-09-30,0,0,0,0,12,0,24,36,120
2019-09-30,1,0,0,0,1,0,0,1,1
2019-09-30,0,0,0,0,1,0,0,1,1
2019-09-30,0,0,0,0,1,0,0,1,1
2019-09-26,0,0,0,0,1,0,0,1,1
2019-09-26,1,0,0,0,94,0,278,372,374
2019-09-25,0,0,0,0,1,0,0,1,1
2019-09-23,1,0,27,10,2,1,0,41,41
2019-09-23,0,0,0,0,1,0,0,1,1
2019-09-19,0,0,0,0,0,0,3,3,8
2019-09-19,0,0,0,0,0,0,3,3,8
2019-09-17,1,0,0,0,2,0,0,2,2
2019-09-11,1,0,1,0,0,0,0,1,1
2019-09-09,0,0,0,0,0,0,3,3,9
2019-09-09,0,0,0,0,0,0,2,2,6
2019-09-06,1,0,0,6,6,0,0,12,12
2019-09-06,1,0,0,6,9,0,0,16,16
2019-09-06,1,0,2,3,3,0,0,9,9
2019-09-06,1,0,0,2,5,0,0,7,7
2019-09-06,1,0,9,14,5,1,0,30,30
2019-09-06,1,0,0,5,11,0,0,16,16
2019-09-06,0,0,0,0,0,0,6,6,20
2019-09-06,0,0,0,0,0,0,3,3,10
2019-09-06,0,0,0,0,1,0,0,1,1
2019-09-03,0,0,0,0,0,0,6,6,20
2019-08-30,1,0,40,10,2,0,0,54,54
2019-08-30,1,1,0,2,40,0,0,43,43
2019-08-30,0,0,0,0,1,0,0,1,1
2019-08-30,0,0,0,0,0,0,3,3,8
2019-08-30,0,0,0,0,5,0,0,5,24
2019-08-29,0,0,0,0,0,0,3,3,8
2019-08-29,0,0,0,0,0,0,3,3,8
2019-08-28,1,0,0,0,0,4,0,4,4
2019-08-28,0,0,0,0,0,0,3,3,8
2019-08-28,0,0,0,0,3,0,6,9,29
2019-08-27,0,0,0,0,0,0,3,3,10
2019-08-23,1,0,0,3,0,0,0,3,3
2019-08-23,0,0,0,0,0,0,3,3,10
2019-08-23,0,0,0,0,0,0,3,3,10
2019-08-19,1,1,0,18,33,0,0,52,52
2019-08-19,0,0,0,0,1,0,0,1,1
2019-08-19,0,0,0,0,1,0,0,1,9
2019-08-19,0,0,0,0,1,0,0,1,1
2019-08-19,0,0,0,0,0,0,3,3,8
2019-08-16,0,0,0,0,0,0,3,3,10
2019-08-16,0,0,0,0,0,0,16,16,53
2019-08-15,0,0,79,0,0,0,0,80,80
2019-08-15,0,0,0,0,0,0,3,3,7
2019-08-14,0,0,0,0,0,0,6,6,17
2019-08-13,0,0,0,0,0,0,3,3,8
2019-08-13,0,0,0,0,0,0,3,3,10
2019-08-12,1,0,0,2,0,0,0,2,2
2019-08-09,0,0,0,0,1,0,0,1,1
2019-08-09,0,0,0,0,0,0,6,6,18
2019-08-07,0,0,0,0,3,0,0,3,15
2019-08-02,1,0,0,1,0,0,0,1,1
2019-08-02,0,0,0,0,0,0,1,1,1
2019-08-02,0,0,0,0,0,0,4,4,15
2019-08-01,0,0,0,0,0,0,9,9,27
2019-07-31,1,0,2,0,0,0,0,2,2
2019-07-31,0,0,0,0,1,0,0,1,1
2019-07-31,0,0,0,0,0,0,4,4,12
2019-07-31,0,0,0,0,0,0,9,9,27
2019-07-30,0,0,0,55,24,0,0,79,80
2019-07-29,0,0,0,0,0,0,3,3,7
2019-07-26,0,0,0,0,0,0,3,3,8
2019-07-26,0,0,0,0,0,0,3,3,8
2019-07-25,1,0,66,21,20,0,0,108,108
2019-07-25,0,0,0,0,0,0,3,3,10
2019-07-24,0,0,0,0,1,0,0,1,1
2019-07-23,0,0,0,0,0,2,0,2,6
2019-07-22,1,1,15,2,3,3,0,24,24
2019-07-22,1,1,29,9,3,0,0,42,42
2019-07-22,1,1,7,0,1,1,0,9,9
2019-07-22,1,1,2,1,1,0,0,4,4
2019-07-22,1,1,14,5,3,2,0,24,24
2019-07-22,1,1,14,9,3,2,0,29,29
2019-07-22,1,1,15,4,0,0,1,21,21
2019-07-22,1,1,23,5,0,3,0,31,31
2019-07-22,1,1,31,7,4,1,1,45,45
2019-07-19,0,0,0,0,1,0,0,1,1
2019-07-19,0,0,0,0,1,0,0,1,1
2019-07-19,0,0,0,0,0,0,3,3,7
2019-07-19,0,0,0,0,0,0,3,3,8
2019-07-17,0,0,0,0,0,0,3,3,8
2019-07-17,0,0,0,0,0,0,3,3,10
2019-07-16,0,0,0,0,0,0,2,2,6
2019-07-16,0,0,0,0,0,0,2,2,6
2019-07-15,0,0,0,0,0,0,7,7,21
2019-07-12,0,0,0,0,0,0,3,3,8
