project_start_date,reporting_construction_type,extended_affordability_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,all_counted_units,total_units,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_single_adults_in_shelter,families_with_children_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,adult_families_in_shelter,individuals_in_adult_families_in_shelter
2014-01-05,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,28964.0,21992.0,50956.0,7343.0,2684.6666666666665,10027.666666666666,10514.333333333334,14963.333333333334,21992.0,36955.333333333336,1874.3333333333333,3973.0
2014-01-12,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.42857142857142855,29086.14285714286,22071.428571428572,51157.57142857143,7387.714285714285,2719.4285714285716,10107.142857142857,10539.714285714286,15002.857142857143,22071.428571428572,37074.28571428572,1874.142857142857,3976.1428571428573
2014-01-19,0.5714285714285714,0.0,0.0,22.285714285714285,17.571428571428573,0.0,0.42857142857142855,40.857142857142854,40.857142857142854,29179.0,22176.85714285714,51355.857142857145,7375.0,2759.5714285714284,10134.57142857143,10596.714285714286,15075.57142857143,22176.85714285714,37252.42857142857,1873.142857142857,3968.8571428571427
2014-01-26,1.1428571428571428,0.14285714285714285,0.0,0.14285714285714285,26.0,1.4285714285714286,0.14285714285714285,28.142857142857142,28.142857142857142,29497.714285714286,22342.285714285714,51840.0,7505.714285714285,2797.285714285714,10303.0,10672.714285714286,15188.57142857143,22342.285714285714,37530.857142857145,1892.7142857142858,4006.1428571428573
2014-02-02,0.42857142857142855,0.0,0.0,4.0,16.142857142857142,0.0,0.42857142857142855,20.714285714285715,20.714285714285715,29542.85714285714,22475.0,52017.857142857145,7478.857142857143,2775.714285714286,10254.57142857143,10735.857142857143,15287.57142857143,22475.0,37762.57142857143,1891.2857142857142,4000.714285714286
2014-02-09,0.2857142857142857,0.0,1.1428571428571428,0.0,1.8571428571428572,0.0,0.2857142857142857,3.2857142857142856,8.428571428571429,29574.85714285714,22510.0,52084.857142857145,7474.571428571428,2756.1428571428573,10230.714285714286,10751.285714285714,15313.42857142857,22510.0,37823.42857142857,1905.5714285714287,4030.714285714286
2014-02-16,0.2857142857142857,0.14285714285714285,8.0,4.857142857142857,14.285714285714286,0.0,31.714285714285715,59.0,59.0,29674.14285714286,22493.428571428572,52167.57142857143,7560.428571428572,2773.5714285714284,10334.0,10741.714285714286,15308.42857142857,22493.428571428572,37801.857142857145,1904.4285714285713,4031.714285714286
2014-02-23,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.5714285714285714,29695.0,22511.14285714286,52206.142857142855,7569.571428571428,2765.1428571428573,10334.714285714286,10748.42857142857,15332.142857142857,22511.14285714286,37843.28571428572,1900.7142857142858,4028.1428571428573
2014-03-02,0.7142857142857143,0.0,1.1428571428571428,0.0,2.2857142857142856,0.0,1.1428571428571428,4.714285714285714,9.285714285714286,29678.428571428572,22593.0,52271.42857142857,7561.0,2740.0,10301.0,10765.857142857143,15352.285714285714,22593.0,37945.28571428572,1897.7142857142858,4025.1428571428573
2014-03-09,0.5714285714285714,0.0,0.0,2.2857142857142856,4.285714285714286,9.571428571428571,1.2857142857142858,17.714285714285715,21.142857142857142,29597.166666666668,22541.0,52138.166666666664,7525.166666666667,2719.6666666666665,10244.833333333334,10754.5,15330.0,22541.0,37871.0,1893.3333333333333,4022.3333333333335
